Dataset,accuracy,precision,recall,f1_score,train_time,test_time
fridge,0.5015646513956691,0.6425941659586519,0.4548005612347163,0.5326291079812207,11.142376136005623,3.648171943001216
garage_door,0.3802727961606466,1.0,0.0022366815778771,0.0044633799959423,3.0492792500008363,1.2989757579998695
gps_tracker,0.7316478439425051,0.9974217311233886,0.5651085141903172,0.7214599706940189,0.9680878519975522,0.2963931759986735
modbus,0.9847315975570556,0.9924409448818896,0.9779639975170702,0.9851492887290918,3.896053234995634,1.201497146001202
motion_light,0.379706445437141,0.0,0.0,0.0,0.3330381509986182,0.1305989079992286
thermostat,0.4576659038901602,0.2094580795835973,0.4576659038901602,0.2873883226939781,0.4708369740001217,0.1383158349999576
weather,0.8148242485990831,0.9916087962962964,0.7063066776586975,0.8249879634087627,0.7701993660011794,0.2264734339987626
