bits_encoding,tuple_bit,error,accuracy_mean,accuracy_std,balanced_accuracy_mean,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,train_time_mean,test_time_mean,entry_size,kfold,runs
256,16,0.01,0.381098213075332,0.0006455093999825304,0.5017377548124403,0.9868421052631579,0.02279014220485367,0.003558842958214122,0.001061403630125871,0.0070898444811633154,0.0021094417134106327,0.7993533143496279,0.3352576845756631,1024,4,10
256,8,0.01,0.381098213075332,0.0006455093999825304,0.5017377548124403,0.9868421052631579,0.02279014220485367,0.003558842958214122,0.001061403630125871,0.0070898444811633154,0.0021094417134106327,0.937821719375006,0.4410555400002522,1024,4,10
256,2,0.01,0.381098213075332,0.0006455093999825304,0.5017377548124403,0.9868421052631579,0.02279014220485367,0.003558842958214122,0.001061403630125871,0.0070898444811633154,0.0021094417134106327,2.1442330875500373,1.2325682992001021,1024,4,10
256,4,0.01,0.381098213075332,0.0006455093999825304,0.5017377548124403,0.9868421052631579,0.02279014220485367,0.003558842958214122,0.001061403630125871,0.0070898444811633154,0.0021094417134106327,1.3185991979747085,0.7382126803246138,1024,4,10
256,32,0.01,0.381098213075332,0.0006455093999825304,0.5017377548124403,0.9868421052631579,0.02279014220485367,0.003558842958214122,0.001061403630125871,0.0070898444811633154,0.0021094417134106327,0.7337567384499379,0.2938483563999398,1024,4,10
256,24,0.01,0.381098213075332,0.0006455093999825304,0.5017377548124403,0.9868421052631579,0.02279014220485367,0.003558842958214122,0.001061403630125871,0.0070898444811633154,0.0021094417134106327,0.7576529743996616,0.308653552350006,1024,4,10
128,2,0.01,0.38078244886172696,0.000652837920502777,0.5014835502670891,0.9861111111111112,0.024056261216234418,0.0030504338675117976,0.0010855373458681218,0.0060796271570995875,0.002160021990243266,1.047694322999996,0.6508350757746485,512,4,10
128,4,0.01,0.38078244886172696,0.000652837920502777,0.5014835502670891,0.9861111111111112,0.024056261216234418,0.0030504338675117976,0.0010855373458681218,0.0060796271570995875,0.002160021990243266,0.6562531322498216,0.35241501867531044,512,4,10
128,16,0.01,0.38078244886172696,0.000652837920502777,0.5014835502670891,0.9861111111111112,0.024056261216234418,0.0030504338675117976,0.0010855373458681218,0.0060796271570995875,0.002160021990243266,0.41866131560000214,0.17277168169994184,512,4,10
128,8,0.01,0.38078244886172696,0.000652837920502777,0.5014835502670891,0.9861111111111112,0.024056261216234418,0.0030504338675117976,0.0010855373458681218,0.0060796271570995875,0.002160021990243266,0.4987777983995329,0.2249140552751669,512,4,10
128,24,0.01,0.38078244886172696,0.000652837920502777,0.5014835502670891,0.9861111111111112,0.024056261216234418,0.0030504338675117976,0.0010855373458681218,0.0060796271570995875,0.002160021990243266,0.3991435713248393,0.16132361754998784,512,4,10
128,32,0.01,0.38078244886172696,0.000652837920502777,0.5014835502670891,0.9861111111111112,0.024056261216234418,0.0030504338675117976,0.0010855373458681218,0.0060796271570995875,0.002160021990243266,0.38645669467523475,0.15329758632506127,512,4,10
64,4,0.01,0.38034038215314403,0.0005577823392523948,0.501127668038938,0.9807692307692308,0.03330866937632454,0.0023386694112094027,0.0009150716077355744,0.004664514261989156,0.00182312199042761,0.33588508709999587,0.16562341810013093,256,4,10
64,2,0.01,0.38034038215314403,0.0005577823392523948,0.501127668038938,0.9807692307692308,0.03330866937632454,0.0023386694112094027,0.0009150716077355744,0.004664514261989156,0.00182312199042761,0.46846371287492733,0.26690719574989996,256,4,10
64,8,0.01,0.38034038215314403,0.0005577823392523948,0.501127668038938,0.9807692307692308,0.03330866937632454,0.0023386694112094027,0.0009150716077355744,0.004664514261989156,0.00182312199042761,0.2669321837250209,0.11635350075011958,256,4,10
64,16,0.01,0.38034038215314403,0.0005577823392523948,0.501127668038938,0.9807692307692308,0.03330866937632454,0.0023386694112094027,0.0009150716077355744,0.004664514261989156,0.00182312199042761,0.22894301737514977,0.09234619422486504,256,4,10
64,24,0.01,0.38034038215314403,0.0005577823392523948,0.501127668038938,0.9807692307692308,0.03330866937632454,0.0023386694112094027,0.0009150716077355744,0.004664514261989156,0.00182312199042761,0.22253198549933584,0.08677802399997744,256,4,10
64,32,0.01,0.38034038215314403,0.0005577823392523948,0.501127668038938,0.9807692307692308,0.03330866937632454,0.0023386694112094027,0.0009150716077355744,0.004664514261989156,0.00182312199042761,0.21564234212519295,0.08403827265001382,256,4,10
