bits_encoding,tuple_bit,error,accuracy_mean,accuracy_std,balanced_accuracy_mean,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,train_time_mean,test_time_mean,entry_size,kfold,runs
256,32,0.01,0.3806869319771111,0.0005753389873450219,0.4998813405969005,0.6072276593489895,0.08306144142540241,0.0037876811938009564,0.0005313924796226412,0.007526799089086607,0.0010536177003601917,0.7267185445751239,0.2925522913746136,1024,4,10
128,32,0.01,0.3806331148732383,0.00035934592983991227,0.5001026985814545,0.6415523954532554,0.07630001977679994,0.0028637304962421894,0.0004096572629321332,0.005700721236308276,0.0008123615318316741,0.3850971241002299,0.15440580405020227,512,4,10
256,24,0.01,0.38061412192166594,0.00040450325811822836,0.49996953779225395,0.6205426496510313,0.07848059247410591,0.003205742251174522,0.0002954516542483113,0.006376963684750885,0.0005863082476434863,0.753914785924735,0.30850733682509596,1024,4,10
256,16,0.01,0.38057612840274213,0.00042435431959107257,0.5000470670617357,0.6298518252797094,0.0897028075401704,0.0028024674568049553,0.00038599237670253894,0.0055790929810860725,0.0007674274792528339,0.7938900706502864,0.33494810957463417,1024,4,10
128,24,0.01,0.380522318513818,0.0004478112190066252,0.5000569478028384,0.6262722371797449,0.09226226781068661,0.002547228939010084,0.00037885866140508064,0.005072680993794425,0.0007541248637546946,0.4091636554502656,0.16647010769984263,512,4,10
256,8,0.01,0.3804811652482024,0.00026997759267451745,0.5001545242631806,0.6603247589828471,0.07843384284265835,0.0020673818596947677,0.00019443461672909583,0.0041211175974710254,0.00038761494313693107,0.9718350968503727,0.4791403982500924,1024,4,10
128,16,0.01,0.3804336768568143,0.00035312388349841283,0.5000904039259515,0.6398183818068307,0.10537002707576161,0.002072474518569673,0.00023021569482600923,0.0041307026942961735,0.000459383119106934,0.44986822807495624,0.17836053842511318,512,4,10
64,24,0.01,0.3803830287187344,0.00029872846022445344,0.5001028461097854,0.6480980990114118,0.08852935311772837,0.00182235888623738,0.0003318844244687217,0.003633808325178489,0.0006608919227624732,0.2215933016254894,0.08747138692497174,256,4,10
64,16,0.01,0.38038301869797236,0.00034666122948348783,0.5001431929846161,0.6604087295573364,0.11738712195665588,0.0016947193025654745,0.0003249624944874666,0.0033799394858417134,0.0006478210335816888,0.24558797917479752,0.0983437979251903,256,4,10
64,32,0.01,0.3803577038480336,0.00035592644076027177,0.4999742656971673,0.617873330270157,0.0857695756491777,0.002123531394334562,0.00039140440120320595,0.004231208564008496,0.0007788017667620427,0.23934943922504315,0.08684166562452447,256,4,10
256,4,0.01,0.380341872246475,0.0003805268885802391,0.5001778170634243,0.664935828060828,0.13346491224981952,0.0014139674601819949,0.000409395682100111,0.0028216293638966255,0.0008165068384105705,1.4215452938003184,0.7824884832997668,1024,4,10
128,8,0.01,0.3802532337961151,0.0004631434133991895,0.5000337042031411,0.6249520679483915,0.16343989455329633,0.0015007417396155826,0.00040686699714770336,0.0029939614189573634,0.0008117452791481616,0.4947644276750907,0.2225179466751797,512,4,10
64,8,0.01,0.3801899250264219,0.0003050219566326905,0.5000811324753791,0.6083642746142747,0.13030671378015654,0.0010872649507581787,0.00040324109387442,0.002170217973880502,0.0008044306977042985,0.26049868864956804,0.11483366332522564,256,4,10
64,4,0.01,0.38014876895499294,0.0003628468789584294,0.5001157523850028,0.640385101010101,0.1437982737520755,0.0008065047700056859,0.0005390851557993077,0.0016104772888801955,0.001075719831250888,0.332348422600171,0.16976801044947934,256,4,10
128,4,0.01,0.38012344648927493,0.00038074418801928235,0.5000485222568719,0.5916071428571429,0.186576257116769,0.0009137111804103697,0.00047163544899559036,0.001824390618371642,0.0009412032586322849,0.6883101808999527,0.3903938030996869,512,4,10
256,2,0.01,0.37994617760516486,0.00015669854435510457,0.49999599232761655,0.4316666666666667,0.2728603631489516,0.0003419846552330395,0.0002973940944654923,0.0006833238784537281,0.0005941094582427526,2.5202936088500794,1.4771161280752494,1024,4,10
128,2,0.01,0.3798923653112578,0.00014151961667314118,0.49995421822905606,0.3225,0.31236886137314573,0.00025010312477877266,0.00026040947306601824,0.0004997523602801011,0.0005203104233306619,1.139308509699822,0.7155422793252001,512,4,10
64,2,0.01,0.3798448849364794,8.574354393917702e-05,0.4999336974275214,0.22416666666666665,0.24273184793100389,0.00011739485504287465,0.00015029023952976172,0.00023462312553116128,0.00030034005170637157,0.4721967716749532,0.274249933424926,256,4,10
