bits_encoding,tuple_bit,error,accuracy_mean,accuracy_std,balanced_accuracy_mean,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,train_time_mean,test_time_mean,entry_size,kfold,runs
64,2,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.1546019816249098,0.7098164741750679,512,4,10
64,4,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.790194634275008,0.4585702488250036,512,4,10
64,8,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5219048237499238,0.24891043544987496,512,4,10
64,16,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4611998901998504,0.1979592046999414,512,4,10
64,24,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4267241777500203,0.17838686520001376,512,4,10
64,32,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.40351753202498913,0.16137426884997697,512,4,10
128,2,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.5458708666250005,1.468940829574922,1024,4,10
128,4,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.5442085242000303,0.8835421867750256,1024,4,10
128,8,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0286773274750658,0.5273387454999692,1024,4,10
128,16,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8147380362500599,0.3513996377499325,1024,4,10
128,24,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8018988524499718,0.3377351422000629,1024,4,10
128,32,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8061325036000653,0.33199526657501793,1024,4,10
256,2,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,5.010090405750066,2.9023853997249036,2048,4,10
256,4,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.2363840257999072,1.7694498966999845,2048,4,10
256,8,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.146250798949973,1.1101340818999006,2048,4,10
256,16,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.8215007300748993,0.8833998803000668,2048,4,10
256,24,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.640937732399948,0.7346729901499657,2048,4,10
256,32,0.01,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.615790410375098,0.6729025061999891,2048,4,10
