bits_encoding,tuple_bit,error,accuracy_mean,accuracy_std,balanced_accuracy_mean,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,train_time_mean,test_time_mean,entry_size,kfold,runs
1024,32,0.01,0.9484166532711782,0.0022809208927989195,0.9485507334678671,0.9551335318798977,0.003788891499393415,0.9447764669357342,0.0026364082933908084,0.9499153813988765,0.0021742820696352898,2.5238645728748454,1.0918103767749927,4096,4,10
1024,24,0.01,0.947387879762096,0.0021178229032010527,0.9475921310669564,0.9559112581828962,0.0036110363034103205,0.9418425954672461,0.001648725165311945,0.9488150075690446,0.001994673908441161,2.7776858356750385,1.2478384798247135,4096,4,10
512,32,0.01,0.9469136794727536,0.002305750752618281,0.9472059557073372,0.9576830029748714,0.0032567463236315864,0.9389785780813412,0.001813284918829025,0.9482275186571523,0.0022042121397004804,1.2369793425250464,0.5143586396745378,2048,4,10
256,32,0.01,0.943232599260569,0.002207711414399059,0.9437400690779261,0.9596572092468978,0.003052550283493873,0.9294551381558522,0.0030389177428077055,0.9442998258174962,0.002171680939886237,0.6096857354998064,0.25454474180023684,1024,4,10
512,24,0.01,0.9423846648448801,0.002575231344276904,0.9429237969574666,0.959655255460601,0.0037248643069470633,0.9277475939149333,0.0022350476510301486,0.9434156971866775,0.002481636912518209,1.2637521773744083,0.5465939013751268,2048,4,10
128,32,0.01,0.927744735573059,0.002438017161233877,0.9289576373796957,0.9630378869078833,0.0030390063254223964,0.8948152747593916,0.003380266144304343,0.9276347129052099,0.002470690535754018,0.3005335891002687,0.12156951224969817,512,4,10
256,24,0.01,0.9166371965921877,0.0016724523426045424,0.9182305831522302,0.962160303927276,0.0029475131998333987,0.8733778329711269,0.0034468688646384087,0.9155782366101206,0.0017514467113723267,0.6382797359750838,0.2688578775998394,1024,4,10
1024,16,0.01,0.9073581417778492,0.0009312427538009252,0.9091426381558523,0.9578339497706867,0.002748748149910097,0.8589102763117044,0.0018177975657753306,0.9056504990570527,0.0008673189788145175,3.220880251724702,1.5164819057745262,4096,4,10
64,32,0.01,0.88179151261855,0.0027258245618246315,0.8847953042533374,0.9656408240202282,0.00334151333944426,0.8002406085066749,0.006476750224660701,0.8750195447586998,0.0033863173732389873,0.1667384556003526,0.065120957923682,256,4,10
128,24,0.01,0.856574505706478,0.0007258080583436258,0.8603650626099555,0.9609425895643066,0.004212216107067316,0.7536634585532443,0.004200864006529836,0.8446759477600908,0.0012123135122502145,0.3181817430991941,0.13248097692485317,512,4,10
512,16,0.01,0.8441649252531748,0.0036076345774618216,0.8483646253751423,0.9591471954782652,0.004013740622752873,0.7301459174169512,0.0060452176506234695,0.8290335707651696,0.004330038363904963,1.5025400926504515,0.6751484661748691,2048,4,10
64,24,0.01,0.7651663719659219,0.001379561022739469,0.7723286414674532,0.9592832174154305,0.002579532512576181,0.5707156162682397,0.004406785159833251,0.71530686689717,0.0027073919381080777,0.1703668713256775,0.06723056957453082,256,4,10
256,16,0.01,0.7566548786368752,0.0006329081216077618,0.7640736947635312,0.956638914120946,0.0037927221905353805,0.5552390561937286,0.0025013320751736253,0.7025019070234987,0.001168758381532084,0.6727884455747698,0.28675399174990157,1024,4,10
128,16,0.01,0.669783796817232,0.004521595271134711,0.6804741384663149,0.9564192971424327,0.004594148905419883,0.37954827693262955,0.008224545281370146,0.5431498949226763,0.008811972861946439,0.32736814400086583,0.13841505279960986,512,4,10
64,16,0.01,0.5972673203665004,0.0026069341268999714,0.6106086606126462,0.9478457313584929,0.006194665242026758,0.23505898789195903,0.0045183974249383705,0.37643949476081384,0.0060136260534032135,0.1799776592246417,0.0740491053000369,256,4,10
1024,8,0.01,0.5891134865777207,0.0016118480096191578,0.6028108843009417,0.9529418128540591,0.010381436464318904,0.21723843526855016,0.005379447512406853,0.3536260314424799,0.006494600088358135,3.9045996495999136,1.9377485037755833,4096,4,10
512,8,0.01,0.5502692493168301,0.0018336437182525705,0.5654238875090551,0.9496689640654281,0.0087322250268905,0.13883110835144363,0.005039897815856726,0.24209498974686597,0.007409058216864188,1.8721668024500107,0.9147328226752507,2048,4,10
256,8,0.01,0.5212666773830574,0.0015903688883606262,0.5375189136396564,0.9459410046739045,0.009922871396085267,0.08002949394597951,0.0040606189413854975,0.14745116307762626,0.006779018712297672,0.8060777901753682,0.38690990232516925,1024,4,10
128,8,0.01,0.5031867866902427,0.00030570782028066485,0.520137034306116,0.9456310101544644,0.014191067850363618,0.042999068612232225,0.001199004751153524,0.08220210510576846,0.0021320292357828456,0.3854320042248219,0.18144383274957362,512,4,10
64,8,0.01,0.4928307346085839,0.0004993481616141276,0.5101765678360758,0.9405499308488223,0.0149506546208276,0.021903135672151505,0.001247754515002085,0.04276798467853075,0.0023713971654221564,0.20936230482511747,0.09287125254923012,256,4,10
1024,4,0.01,0.49268606333386916,0.0006343863449821846,0.5100420055883266,0.9443406472368057,0.020665228008095997,0.021484011176653217,0.0008623374363446848,0.04197220643571614,0.00166839536534735,5.33691290757597,2.917853893850406,4096,4,10
512,4,0.01,0.4881891978781546,0.00014394385700510545,0.5057231385180586,0.9522530704806703,0.028148517000551862,0.01215461036945048,0.000634172561807373,0.02398435867201872,0.001228069077560055,2.459938791474451,1.2868950299747666,2048,4,10
256,4,0.01,0.4853882012538177,0.0003656747521645419,0.5030296685811859,0.9514954511236202,0.044691112305894266,0.0064343371623719345,0.0005467910803775549,0.012772769835473685,0.0010788732601356512,1.1523913875251308,0.6281902721751976,1024,4,10
128,4,0.01,0.4838490596367144,0.00033514162762527115,0.5015501901583359,0.9647163582032003,0.03200851301351783,0.0032753803166718407,0.0006909100616040945,0.00652410245756586,0.0013718481841683947,0.5213616176739378,0.27290563427541203,512,4,10
1024,2,0.01,0.4833748593473718,0.0002565332208407512,0.5010916860705784,0.9483760683760682,0.03191278174867337,0.0023750388078236577,0.0004485620390189348,0.004735250899569755,0.0008928071539113536,9.78511984720135,5.599083660574616,4096,4,10
64,4,0.01,0.4830212184536249,0.00019797698017608785,0.5007533219497051,0.9682440476190476,0.0187667867031963,0.001606643899410121,0.00043039958500502254,0.003206299341391281,0.0008575395216868511,0.25452365469991495,0.12452770227555447,256,4,10
512,2,0.01,0.483017199807105,0.0002527597684217596,0.5007517282417469,0.9878571428571429,0.021032045520479235,0.0015367898168270723,0.0004741547453989837,0.00306762647763021,0.0009455303239076502,3.488008113374417,2.000351314499858,2048,4,10
256,2,0.01,0.48282832342067195,0.00023634971793171002,0.5005693314705577,0.975,0.043301270189221926,0.0011719962744489289,0.00043430098831225656,0.0023404565366726476,0.000866356461446164,1.6936429165003575,0.9605371916253717,1024,4,10
64,2,0.01,0.48269168943899693,0.00024014565453031085,0.5004382425230259,0.995,0.008660254037844347,0.0008848183793852841,0.00046491707953653954,0.0017675960880880856,0.0009280343330967444,0.37282630152476487,0.2103654961505526,256,4,10
128,2,0.01,0.4826876707924771,0.00023099353581743792,0.5004346476249613,1.0,0.0,0.0008692952499223844,0.0004461380895125711,0.0017366748425986977,0.0008905538915630407,0.787142122424666,0.4628990355506175,512,4,10
