bits_encoding,tuple_bit,error,accuracy_mean,accuracy_std,balanced_accuracy_mean,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,train_time_mean,test_time_mean,entry_size,kfold,runs
256,32,0.01,0.3774996238411943,0.00045140474495012424,0.49987269547736374,0.6154711777069877,0.023712928096572695,0.00830372428806084,0.0006673653868373553,0.016377492664921566,0.0013054843130596216,0.5871395443246001,0.23640605080072416,768,4,10
128,32,0.01,0.3767516997112893,0.0003440673498710793,0.5000196505728802,0.6240510913723201,0.029639291126359994,0.004855967812427115,0.0005028538885581701,0.009632424825600578,0.0009931548752202654,0.318173678524181,0.13308765295005287,384,4,10
256,24,0.01,0.3765201058409494,0.00019100325572819855,0.49988902460915224,0.6116862397740381,0.017336153788189923,0.004319715884970994,0.00033007458761739417,0.008572538306954284,0.0006519951936570964,0.605918675900466,0.2464722701239225,768,4,10
128,24,0.01,0.37602253376936096,0.0001814361753712328,0.4999158585355304,0.6031864719290739,0.037297966754146025,0.0022400504043940776,0.0003975169268091217,0.004460708812039679,0.0007889748320099519,0.3324455570509599,0.13287230182504572,384,4,10
64,32,0.01,0.3759662016181112,0.00022100995239288364,0.49990563351643064,0.6039234365962571,0.04745344955927313,0.0020446003661945614,3.7499491844596844e-05,0.004072828214969787,7.5313845840903e-05,0.173412366850971,0.06666444072652666,192,4,10
256,16,0.01,0.37592865115986657,0.00013189503097678536,0.49991709874595,0.6092875577995462,0.02267231544172997,0.001859197491899983,0.00027617276518596986,0.0037050961124206047,0.0005491022772531135,0.6907839873492776,0.29430792572493375,768,4,10
64,24,0.01,0.37577218171104443,0.00014736139642802722,0.4999230372698043,0.5570919676728501,0.021748255342662642,0.0012127412062752974,0.00028582454305594256,0.0024187837033198445,0.0005686955611154035,0.1789463853747293,0.07028571965092852,192,4,10
128,16,0.01,0.37574714807221465,0.0001588820481682231,0.4999594608740673,0.5944013486513486,0.06890324626368258,0.0010022550814679223,0.00025786091526395295,0.0020000009624223563,0.0005133573167930954,0.349186641950655,0.1407917406500928,384,4,10
128,8,0.01,0.3755844180590575,5.5232211745610204e-05,0.5000019192463998,0.29223824786324787,0.08957401991631159,0.000220505159466303,0.00013069926533861882,0.00044042067151073397,0.0002608818133280742,0.3975928844763985,0.18111333217420908,384,4,10
64,16,0.01,0.3755812867975138,8.110647694133853e-05,0.4999246642915135,0.5138988095238095,0.13241813281297896,0.00044099524969367255,9.295691273123194e-05,0.000880819200620338,0.0001855419607560209,0.1883687760990142,0.07369473567669046,192,4,10
256,8,0.01,0.37556251450652,0.00010746666608868705,0.4999478407870209,0.35997474747474745,0.16680361109404332,0.00029568157404188174,0.00019714467724553982,0.0005906068064248124,0.00039349482554629315,0.8095038288756768,0.373955373825811,768,4,10
64,8,0.01,0.3755562523751831,4.805888491243398e-05,0.4999959751549641,0.18084935897435897,0.10079054888640346,0.00012528364326136587,7.41601897917387e-05,0.00025019239427422307,0.00014801870094431486,0.21494609324945485,0.09619382397431764,192,4,10
128,2,0.01,0.37552495817201825,4.5651971320984155e-05,0.4999891887151734,0.025,0.04330127018922194,2.0044097013429547e-05,3.471739441909957e-05,4.005607850991388e-05,6.937916313113868e-05,0.7870549200753885,0.4778097323745897,384,4,10
128,4,0.01,0.3755187011334375,6.534616143551617e-05,0.49997753558429986,0.07916666666666666,0.11016086722001904,3.007116859978882e-05,4.1330492544487495e-05,6.011622604231091e-05,8.262444714039535e-05,0.5254425393501152,0.2755375109769375,384,4,10
256,4,0.01,0.3755186991746851,2.1177892838814133e-05,0.49997088845460014,0.09791666666666665,0.1190784930203603,5.0110242533573865e-05,7.566480692794898e-05,0.0001001602596261491,0.00015123016869543826,1.0505097453002235,0.575858765425437,768,4,10
64,2,0.01,0.3755155710471452,5.203130076885165e-05,0.4999783508743293,0.03333333333333333,0.040824829046386304,1.503508199192996e-05,1.6622716383065497e-05,3.005610580134628e-05,3.323150363665958e-05,0.37122247032821176,0.20634974962558772,192,4,10
64,4,0.01,0.37551557026364424,3.433109237679675e-05,0.49998333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.26135888322496614,0.13200176605241723,192,4,10
256,2,0.01,0.3755061823552702,4.866978546788532e-05,0.4999708333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.6894851734243277,0.9745250361505897,768,4,10
