bits_encoding,tuple_bit,error,accuracy_mean,accuracy_std,balanced_accuracy_mean,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,train_time_mean,test_time_mean,entry_size,kfold,runs
256,32,0.01,0.3759223878532782,0.0002673435657076828,0.49961307689065093,0.564084786032208,0.03979445421315749,0.002751153781302024,0.0005999250710378646,0.0054731714087808995,0.0011884806558060926,0.5730427463000524,0.2304281329497826,768,4,10
256,24,0.01,0.37591612846419453,9.078208305272225e-05,0.49976918881523313,0.5712029866138258,0.005415297630635267,0.0022550442971329228,0.00042732238508081077,0.0044902736330517425,0.0008479587954170588,0.5902181089502847,0.2407422073501948,768,4,10
256,16,0.01,0.3757784395331262,3.346610273758703e-05,0.49980345617817096,0.5884675569207892,0.02003306737609139,0.0015985790230085982,0.00037369057554184485,0.0031869827758802746,0.0007426139657056184,0.6267353441247906,0.2626669365997259,768,4,10
128,24,0.01,0.3757002065715922,0.00010709370600886864,0.4998404856381714,0.5671584115488915,0.04845341221546443,0.0011726379430095045,0.00015165729704672617,0.0023393605155217294,0.00030161678286807017,0.30762199905011584,0.1236579646748396,384,4,10
128,32,0.01,0.3756908147457135,4.08159241780651e-05,0.4997183494385322,0.5538744646922902,0.02216083590320378,0.001503365543731092,0.00020283317737373633,0.002997506821047682,0.0004033057400303261,0.3000199897498532,0.11745245667507334,384,4,10
128,8,0.01,0.3756845600576355,7.5219521098407e-05,0.5000256224077895,0.696404983904984,0.13606327654712003,0.0005512448155790374,0.00013410750582736606,0.0011011536689631055,0.00026762174478483673,0.39377432927467454,0.17265103375011676,384,4,10
256,8,0.01,0.3756783014520529,7.114032255073956e-05,0.49990765890251254,0.5865766178266177,0.06352023215848644,0.0008819844716917716,0.00011601362420874908,0.0017608550775190697,0.00023125744222873718,0.7511294062498565,0.35707380735002514,768,4,10
128,16,0.01,0.3756689131519284,0.00012137060598341679,0.49994166670886053,0.57124444999445,0.09778861594671978,0.0007416667510544047,0.00012273305595057648,0.0014810012759840572,0.0002448972147657122,0.3212628200250037,0.1317216619999272,384,4,10
256,4,0.01,0.3756438767708453,9.686033096269939e-05,0.5000163023929308,0.5845833333333332,0.15419285262073507,0.0004159381191950278,6.999004739942877e-05,0.0008310315059982001,0.0001397767022908845,1.0549408940500142,0.590641459050039,768,4,10
64,32,0.01,0.3756344865119684,0.00015537408996071743,0.49994732364087924,0.5302083333333334,0.08957264906227799,0.0005863139484251079,0.00012303038994009139,0.0011711493633951768,0.0002457162439147175,0.16236671792539709,0.062412458825474464,192,4,10
64,24,0.01,0.37563135603392567,7.174346001477468e-05,0.4999830181531687,0.5041887973137973,0.05121822707799105,0.00046603630633745483,0.0001488859463458908,0.0009309231980974693,0.0002972939767878703,0.16724907805028122,0.0648051368751112,192,4,10
128,4,0.01,0.3755938075344334,0.00012201205493662412,0.5000110944257801,0.49124999999999996,0.2583800361010029,0.00023052218489337328,0.00013484071570299687,0.00046072520690396753,0.0002694405328387255,0.5040220142748695,0.2591366712499621,384,4,10
256,2,0.01,0.37556876958634844,9.397347828220636e-05,0.5000209460874068,0.2,0.21213203435596426,0.00010022550814679223,0.00012274452540270609,0.0002003425934427407,0.00024534152369232463,1.6418483922500853,0.9633725312497518,768,4,10
64,16,0.01,0.37555938128622396,3.530658733965371e-05,0.49995362798758713,0.3574603174603174,0.11012310159847903,0.000265589308507586,0.00013768320041223465,0.0005306428985868499,0.00027498058848472517,0.1764996951743342,0.07072560065007565,192,4,10
64,8,0.01,0.3755499929860995,2.777555778204518e-05,0.49999096212147887,0.2833333333333333,0.06346477588219922,0.00011525757629093549,2.1836095188086474e-05,0.0002303966964464325,4.363766523825672e-05,0.19780893217521223,0.08570696059987312,192,4,10
64,2,0.01,0.3755280874748096,2.0355951778436478e-05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3466660340749513,0.19120195630030137,192,4,10
64,4,0.01,0.37552495817201825,2.2744158193076085e-05,0.49999251102425335,0.025,0.04330127018922194,1.0022048506714773e-05,1.7358697209549784e-05,2.003606491685033e-05,3.4703482419733064e-05,0.24170847704990592,0.11758978472516901,192,4,10
128,2,0.01,0.37552495817201825,3.8175649098081416e-05,0.49999084986971337,0.025,0.04330127018922194,1.5033072760072159e-05,2.6038045814324675e-05,3.0048076923076925e-05,5.204479590050714e-05,0.7620861935499306,0.46900601212510085,384,4,10
